Label,Mean AUC,Std
No Finding,0.8776223776223776,0.010640186268362582
Enlarged Cardiomediastinum,0.2921125838651612,0.02231283442241912
Cardiomegaly,0.6968582887700535,0.008018811066128194
Lung Opacity,0.7974861739567621,0.0008532208521104093
Lung Lesion,0.12769485903814262,0.057063517525987595
Edema,0.7919146825396824,0.0059824801163190135
Consolidation,0.8208946078431373,0.012735962506423072
Pneumonia,0.4039948453608247,0.08621991158290408
Atelectasis,0.748416447944007,0.010246967759893805
Pneumothorax,0.6207570207570208,0.008402759723606936
Pleural Effusion,0.7880057367149759,0.0075469881090339435
Pleural Other,0.6334991708126037,0.1720718688710804
Fracture,,
Support Devices,0.673008401163741,0.007957558147778753
